val_acc,val_f1,folder,batch_size,learning_rate
0.62,0.2961722569991799,./results_vgg_lr/20241022135619,128,0.001
0.1137777777777777,0.0042551277485635,./results_vgg_lr/20241022140118,128,0.01
0.6242222222222222,0.2827490151033364,./results_vgg_lr/20241022140325,256,0.001
0.1182222222222222,0.0038569956838694,./results_vgg_lr/20241022140829,256,0.01
0.6093333333333333,0.2612992260969438,./results_vgg_lr/20241022143659,128,0.001
0.04377777777777778,0.00016310337227242673,./results_vgg_lr/20241022144112,128,0.01
0.6211111111111111,0.29387737636884553,./results_vgg_lr/20241022144312,256,0.001
0.04511111111111111,0.0001674746584398413,./results_vgg_lr/20241022144745,256,0.01
0.6044444444444445,0.24346265652863383,./results_vgg_sr/20241022145005,128,0.001
0.16333333333333333,0.006701371745499598,./results_vgg_sr/20241022145559,128,0.01
0.5697777777777778,0.21737809882257,./results_vgg_sr/20241022145746,256,0.001
0.22955555555555557,0.02053411380838681,./results_vgg_sr/20241022150347,256,0.01
0.7575555555555555,0.41453283780689754,./results_res_nr/20241022150734,128,0.001
0.772,0.4439589322698581,./results_res_nr/20241022151036,128,0.01
0.756,0.4194970230674533,./results_res_nr/20241022151308,256,0.001
0.7624444444444445,0.4350263194182113,./results_res_nr/20241022151550,256,0.01
